g_id,name,rating_num,closed,y,x,g_in_fs_yn,fs_name,fs_id,g_in_bl_yn,bl_name,bl_sic,bl_id,g_in_lq_yn,lq_name,lq_id,g_in_dc_yn,dc_id,g_in_pk_yn,pk_id,address,phone,rating,website,google_url,type,type_all,zip_code
ChIJT0OI4Of99IgR9jvfz5qlzwQ,Rumors Gentlemen's Club,2,-1,33.647688,-84.364399,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"3950 Jonesboro Road, Forest Park, GA 30297, United States",(404) 675-9400,NA,http://rumorsatlanta.com/,https://plus.google.com/109506313225818254890/about?hl=en,night_club,"night_club,bar,restaurant,food,establishment",30297
ChIJg35pbp799IgRYgFfjlSsGp4,Ga Cooperative Services-Blind,0,-1,33.651873,-84.392148,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"3900 Crown Road Southeast, Atlanta, GA 30304, United States",(404) 762-7798,NA,NA,https://plus.google.com/109830899579760527326/about?hl=en,bar,"bar,establishment",30304
ChIJC44AMwji9IgRGrv7Gmdon3I,Chili's,34,-1,33.654901,-84.507983,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"3660 N Camp Creek Pkwy SW, Atlanta, GA 30331, United States",(404) 629-0113,3.1,http://www.chilis.com/,https://plus.google.com/117507990904181098202/about?hl=en,meal_takeaway,"meal_takeaway,bar,restaurant,food,establishment",30331
ChIJC44AMwji9IgRPuDUhKr50OE,TGI Fridays,43,-1,33.655051,-84.508716,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"3670 Camp Creek Parkway South West, Atlanta, GA 30331, United States",(404) 344-4180,2.5,http://www.tgifridays.com/,https://plus.google.com/108285622380407896120/about?hl=en,meal_takeaway,"meal_takeaway,bar,restaurant,food,establishment",30331
ChIJFVzSNU_99IgRfKDVN1JunAM,Concorde Grill,0,-1,33.653839,-84.427198,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"1 Hartsfield Center Parkway, Atlanta, GA 30354, United States",(404) 209-9999,NA,NA,https://plus.google.com/113100219866135155802/about?hl=en,bar,"bar,restaurant,food,establishment",30354
ChIJkeVaL3H99IgR7zqa7GtFExA,Sombreros Mexican Cantina,11,-1,33.655828,-84.402252,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"411 North Central Avenue, Atlanta, GA 30354, United States",(404) 766-4499,4.1,http://sombrerosmexicancantina.com/,https://plus.google.com/100000151636692995969/about?hl=en,bar,"bar,restaurant,food,establishment",30354
ChIJMaiQ9k_99IgR0fz4bNBNFkM,Joffrey's Cafe & Bar,25,-1,33.653956,-84.397199,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"301 North Central Avenue, Hapeville, GA 30354, United States",(470) 819-4198,4.4,http://www.joffreysatl.com/,https://plus.google.com/102323914725538692954/about?hl=en,cafe,"cafe,store,night_club,bar,restaurant,food,establishment",30354
ChIJr2nky0_99IgRlCBJdss0g7o,Ruby Tuesday,38,-1,33.658596,-84.42942,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"1230 Virginia Avenue, East Point, GA 30344, United States",(404) 559-4887,2.6,http://www.rubytuesday.com/,https://plus.google.com/113284789642899942069/about?hl=en,bar,"bar,restaurant,food,establishment",30344
ChIJmSEsyU_99IgRB7Pkmy3wKKM,Spondivits,117,-1,33.659191,-84.429032,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"1219 Virginia Avenue, East Point, GA 30344, United States",(404) 767-1569,3.1,http://spondivits.net/,https://plus.google.com/117633372407865652552/about?hl=en,bar,"bar,restaurant,food,establishment",30344
ChIJBdV4tk_99IgRhy5pa9RtNHA,Malone's Steak & Seafood,65,-1,33.658533,-84.430058,0,NF,0,0,NF,0,0,0,NF,0,0,NA,0,NA,"1258 Virginia Avenue, Atlanta, GA 30344, United States",(404) 762-5577,3.7,http://www.malonesatlanta.com/,https://plus.google.com/111880030309592172292/about?hl=en,bar,"bar,restaurant,food,establishment",30344
