Business_sic_type,Google_type,Fsaf_Occupance_type
"AUTO REPAIR,OVERHAUL & GENERAL",BAKERY,"100 OR MORE UNITS, SEASONAL"
AUTO/HOME SUPPLY STORE-RETAIL,BAR,"100 OR MORE UNITS, YEAR ROUND"
AUTOMOBILE BODY & PAINT SHOP,BOOK_STORE,"20 TO 99 UNITS, SEASONAL USE"
"AUTOMOBILE DEALERS, NEW RETAIL",CAFE,"20 TO 99 UNITS, YEAR ROUND USE"
"AUTOMOBILE DEALERS,USED RETAIL",CAR_DEALER,3 THRU 6 UNITS
"AUTOMOBILE PARTS, WHOLESALE",CAR_RENTAL,7 THRU 20 UNITS
"AUTOMOBILE TIRES, RECAPPING",CAR_REPAIR,ALCOHOLIC BEVERAGE STORAGE
"AUTOMOBILE, RENTAL/LEASING",CHURCH,AMUSEMENT CENTER
"BAKERY STORES, W/R SALES ONLY",DENTIST,"APTS,TENEMENTS NOT CLASSIFIED"
BAR,DEPARTMENT_STORE,"ARENA, STADIUM"
BARREL/DRUM/PALLET MFG/DEALER,FLORIST,"ASPHALT, COAL PRODUCT MFG"
"BATTERIES, MANUFACTURER",FURNITURE_STORE,AT FLAMMABLE LQD GAS LOAD FAC
"BUILDING MATERIALS, WHOLESALE",GAS_STATION,"AUDITORIUM, CONCERT HALL"
BUILDING MATERIALS-SUPPLIES,GROCERY_OR_SUPERMARKET,BAKERY PRODUCTS MANUFACTURE
"CABINET SHOPS,MANUFACTURING",HARDWARE_STORE,"BALLROOM, GYMNASIUM"
CHEMICAL & ALLIED PRODUCTS,HOSPITAL,BANK WITH 1ST STORY BANK FACIL
"COAL, WHOLESALE",LAUNDRY,"BARBER, BEAUTY SHOP"
COLD STORAGE WAREHOUSE,LIBRARY,BASIC METAL FORM STORAGE
"CONCRETE,MANUFACTURER (MIXED)",LODGING,BILLIARD CENTER
CONVALESCENT/PERSONAL CARE HME,MOSQUE,BOWLING ESTABLISHMENT
DRY CLEANING & ALTERATIONS,MOVIE_THEATER,"BREWERY, MANUFACTURE OF MALT"
"DRY CLEANING, RETAIL",NIGHT_CLUB,BUS PASSENGER TERMINAL
"DRYING CLEANING, COIN OPERATED",PAINTER,BUSINESS SCHOOL
EDUCATIONAL SERVICES & SCHOOLS,PLACE_OF_WORSHIP,CANNED BOTTLED FOOD SOFT DRNK
FAST FOOD RESTAURANT,PLUMBER,CAR WASHING FACILITY
"FLORIST, RETAIL",RESTAURANT,CARE OF AGED NOT CLASSIFIED
"FUEL & ICE DEALERS, RETAIL",ROOFING_CONTRACTOR,CARE OF AGED W/O  NURSING STAF
FURNITURE REPAIR & REUPHOLSTER,SCHOOL,CARE OF AGED WITH NURSING STAF
FURNITURE/FIXTURES-MANUFACT,SHOPPING_MALL,CARE OF YOUNG NOT CLASSIFIED
"GAS,LIQUID PETROLEUM/SUPPLY",SYNAGOGUE,CEMENT MANUFACTURE
GASOLINE SERVICE STATION,VETERINARY_CARE,CEMETERY
"GASOLINE, WHOLESALE",,CHEMICAL PLASTIC STOR NOT CLAS
GLASS MFG/LAMINATING,,"CHILDREN'S HOME, ORPHANAGE"
GLASS REPLACE & REPAIR AUTO,,CHURCH HALL
"GLASS/PAINT/WALL PAPER, RETAIL",,"CHURCH, CHAPEL"
GOLF COURSES-INCL MINIATURE,,"CHURCHES, FUNERAL NOT CLASS"
"GROCERS, RETAIL",,CITY CLUB
"HARDWARE, RETAIL",,"CLINIC, CLINIC TYPE INFIRMARY"
HOSPITAL SANITARIURMS & LIKE,,"CLINICS,DRS. OFFICE, DIALYSIS"
HOTEL/MOTEL,,"CLOTHING ACCESSORIES, SHOE STO"
"INDUSTRIAL SUPPLIES,WHOLESALE",,CLOTHING STORE
"MACHINE SHOPS,JOBBING/REPAIR",,CLUBS NOT CLASSIFIED
MACHINERY & EQUIPMENT MFG,,COLD STORAGE
MATTRESS MAKERS,,COLLEGE CLASSROOM BUILDING
"METAL JOBBERS, WHOLESALE",,COMMUNIC DEFENSE NOT CLASSIFED
"METAL PRODUCTS, MANUFACTURING",,"COMPUTER, DATA PROCESSING CNTR"
"METAL PRODUCTS, NOT CLASSIFIED",,CONCRETE BATCH PLANT
MISC BUSINESS SERVICE,,CONSTRUCTION UNOCCUPIED NOT CL
"MOVERS,LOCAL TRUKING & STORAGE",,"COTTON SPINNING, WEAVING"
NIGHT CLUB,,COUNTRY CLUB
"NURSERY, DAY",,"CROPS, ORCHARDS"
NURSING HOME,,DAIRY PRODUCT MANUFACTURE
PAINT MANUFACTURER,,DAY CHILD CARE CENTER
"PAINT/WALL PAPER, WHOLESALE",,DEPARTMENT STORE
"PAPER JOBBERS,DEALERS,AGENTS",,"DORMITORIES, NOT CLASSIFIED"
PAPER MILLS & ALLIED PRODUCTS,,"DRUG, COSMETIC PHARM STORAGE"
PERSONAL SERVICES-MISC,,"DRUG, COSMETIC, PHARMACEUTICAL"
"PLUMB/HEAT SUPPLIES, WHOLSALE",,"EATING,DRINKING NOT CLASSIFIED"
RECYCLING-METAL(WASTE & SCRAP),,EDUCATIONAL PROP. NOT CLASS
RESTAURANTS,,ELEMENTARY SCHOOL
"ROOFING, WHOLESALE",,"ENGINEERING, ARCHITECT, TECHNC"
RUBBER & MISCELLANEOUS PRODUCT,,EXHIBITION; EXPOSITION HALL
RUG CLEANING COMPANY,,FIBER PRODUCTS STORAGE
"SOAP, MANUFACTURING",,FIRE STATIONS
STORAGE/WAREHOUSING,,"FIRE, POLICE, INDUST. COMM CNT"
"TEXTILE MILL PRODUCTS,MFG",,FLAMMABLE LIQUID DISTRIBUTION
TRANSPORTATION EQUIPMENT,,"FLAMMABLE, COMBUSTIBLE LQD STO"
TRUCKING/COURIER-EXCEPT RENTAL,,FOOD INDUSTRIES NOT CLASSIFIED
WELDING SHOP,,"FOOD, BEVERAGE SALES NOT CLASS"
WRECKING BUILDINGS,,"FRATERNITY, SORORITY HOUSE"
,,FREIGHT TERMINAL
,,"FUNERAL PARLOR, CHAPEL"
,,FURNITURE STORE
,,"FURNITURE, FIXTURE, BEDDING MF"
,,"FXD USE AMUSEMNT,NOT CLASSFIED"
,,GENERAL BUSINESS OFFICE
,,GENERAL ITEM STORAGE NOT CLASS
,,GENERAL ITEM STORE NOT CLASSIF
,,GENERAL MAINTENACE SHOP NOT EL
,,GENERAL VEHICLE PARKING GARAGE
,,GENERAL WAREHOUSE
,,GLASS CONTAINER MFG
,,GLASS MFG EXCLUDE CONTAINERS
,,HARDWARE STORE
,,HAZARDOUS CHEMICAL MFG
,,HAZARDOUS CHEMICAL STORAGE
,,HIGH SCHOOL
,,HISTORIC BUILDING
,,HOME MAINTENANCE SERVICES
,,"HOSPITAL, INFIRMARY"
,,"HOTEL, MOTEL, NOT CLASSIFIED"
,,HOUSEHOLD GS&R NOT CLASSIFIED
,,INDUSTRIAL CHEMICAL MFG
,,INDUSTRIAL CHEMICAL STORAGE
,,"IRON, STEEL MANUFACTURE"
,,JUNIOR HIGH SCHOOL
,,LARGE VARIETY STORE
,,"LAUNDRY, DRY CLEANER PICK-UP"
,,"LAUNDRY, DRY CLEANING PLANT"
,,LEGITIMATE THEATER
,,"LESS THAN 20 UNITS, YR ROUND"
,,LIBRARY
,,"LIBRARY, MUSEUM NOT CLASSIFIED"
,,"LIQUOR, BEVERAGE STORE"
,,LP GS BULK PLANT
,,"LUMBERYARD, BLDG MATERIAL STOR"
,,"LUNCHROOM, DRIVE-IN"
,,MACHINERY MANUFACTURE
,,MACHINERY STORAGE
,,MAILING FIRM
,,MALL
,,MANUFACTURING PROCESSING
,,MANUFACTURING PROP NOT CLASS
,,"MARKET, GROCERY STORE"
,,"MEDICAL, RESEARCH, OFFICE"
,,"MERCANTILE, BUSINESS, OTHERS"
,,METAL PARTS STORAGE
,,METAL PRODUCT MANUFACTURE
,,"METAL, METAL PRODUCT NOT CLASS"
,,"MIXED, BLENDED, OTHER FIBERS"
,,MOTION PICTURE STUDIO
,,MOTION PICTURE THEATER
,,MOTOR VEH BOAT NOT CLASSIFIED
,,MOTOR VEHICLE ACCESSORY SALES
,,MOTOR VEHICLE REPAIR
,,MOTOR VEHICLE TRAILER SALES
,,"MUSEUM, ART GALLERY"
,,NIGHTCLUB
,,NONRESID. SCHOOL NOT CLASSIFED
,,OFFICES NOT CLASSIFIED
,,OTHER MANUFACTURING NOT CLASS
,,OUTSIDE OR SPECIAL PROPERTY
,,OVER 20 UNITS
,,P
,,PACKAGE PETROLEUM PRODUCTS
,,PACKAGED FOODSTUFF STORAGE
,,"PAINT, VARNISH STORAGE"
,,"PAINT, VARNISH, LACQUER, INK"
,,"PAPER, PAPER PRODUCTS STORAGE"
,,"PAPER, PULP, PAPERBOARD PROD"
,,"PETROLEUM REFINERY, NATL GAS"
,,PLASTIC PRODUCT MANUFACTURE
,,PLAYGROUND
,,POST OFFICE
,,POTTERY CHINA EARTHENWARE MFG
,,PRINTING PUBLISHING ALLIED IND
,,PRIVATE SERVICE STATION
,,PROFESSIONAL SUPP NOT CLASS
,,PROFESSIONAL SUPPLY SALES
,,PUBLIC ASSEMBLY NOT CLASSIFIED
,,PUBLIC SERVICE STATION
,,"RADIO, TV STUDIO"
,,RADIOACTIVE MATERIAL WORKING
,,"RECREATION, HOBBY NOT CLASSIFD"
,,REHAB CENTER ATTEND BY CHOICE
,,RESIDENTAIL OCCUP NOT CLASSIFD
,,RESIDENTIAL PARKING GARAGE
,,RESIDENTIAL SCHOOL CLASSROOM
,,RESIDENTIAL SCHOOL NOT CLASS
,,RESTAURANT
,,ROLLER RINK
,,"ROOM, BOARD, LODGE NOT CLASS"
,,"RUBBER, RUBBER PRODUCT STORAGE"
,,"RUBBER, RUBBER PRODUCTS MFG"
,,SANITARY SERVICE
,,"SAWMILL, PLANING MILL WOOD PRO"
,,"SCRAP, JUNKYARDS"
,,"SELF SERVICE LAUNDRY, DRY CLEA"
,,SMALL VARIETY STORE
,,"SOFT DRINK, CARBONATED WATER"
,,SPECIAL STRUCTURE NOT CLASSIFI
,,SPECIALTY FOOD STORE
,,SPECIALTY SCHOOL
