sic,bl_notin_fsaf_count,fsaf_bl_count,desc,in_d1,PCT_inspected,fire_count,fire_pct,fire_count_risk
8059,8,5,CONVALESCENT/PERSONAL CARE HME,3,0.3846,0,0,0
5211,20,10,BUILDING MATERIALS-SUPPLIES,3,0.3333,0,0,0
2833,8,4,CHEMICAL & ALLIED PRODUCTS,3,0.3333,1,0.0909,0.0909
5984,2,1,"GAS,LIQUID PETROLEUM/SUPPLY",3,0.3333,1,0.3333,0.3333
7692,7,3,WELDING SHOP,3,0.3,0,0,0
7534,38,16,"AUTOMOBILE TIRES, RECAPPING",3,0.2963,2,0.0377,0.0754
7536,6,6,GLASS REPLACE & REPAIR AUTO,2,0.5,0,0,0
3273,3,3,"CONCRETE,MANUFACTURER (MIXED)",2,0.5,0,0,0
7992,3,3,GOLF COURSES-INCL MINIATURE,2,0.5,0,0,0
5051,2,2,"METAL JOBBERS, WHOLESALE",2,0.5,0,0,0
3399,2,2,"METAL PRODUCTS, NOT CLASSIFIED",2,0.5,1,0.25,0.25
3599,2,2,"MACHINE SHOPS,JOBBING/REPAIR",2,0.5,0,0,0
3211,1,1,GLASS MFG/LAMINATING,2,0.5,0,0,0
2449,1,1,BARREL/DRUM/PALLET MFG/DEALER,2,0.5,0,0,0
2515,1,1,MATTRESS MAKERS,2,0.5,0,0,0
2841,1,1,"SOAP, MANUFACTURING",2,0.5,0,0,0
3011,1,1,RUBBER & MISCELLANEOUS PRODUCT,2,0.5,0,0,0
3531,1,1,MACHINERY & EQUIPMENT MFG,2,0.5,0,0,0
5982,1,1,"FUEL & ICE DEALERS, RETAIL",2,0.5,0,0,0
5813,11,38,NIGHT CLUB,1,0.7755,2,0.0408,0.0816
5817,2,4,BAR,1,0.6667,0,0,0
5541,35,64,GASOLINE SERVICE STATION,1,0.6465,3,0.0326,0.0978
5251,6,6,"HARDWARE, RETAIL",1,0.5,1,0.0833,0.0833
7011,50,41,HOTEL/MOTEL,1,0.4505,12,0.1379,1.6548
5812,765,604,RESTAURANTS,1,0.4412,135,0.0999,13.4865
7538,114,83,"AUTO REPAIR,OVERHAUL & GENERAL",1,0.4213,5,0.0259,0.1295
5172,6,4,"GASOLINE, WHOLESALE",1,0.4,0,0,0
7216,28,18,"DRY CLEANING, RETAIL",1,0.3913,1,0.0222,0.0222
7212,63,17,DRY CLEANING & ALTERATIONS,1,0.2125,7,0.0875,0.6125
7531,23,6,AUTOMOBILE BODY & PAINT SHOP,1,0.2069,0,0,0
5816,186,38,FAST FOOD RESTAURANT,1,0.1696,14,0.0631,0.8834
4225,47,6,STORAGE/WAREHOUSING,1,0.1132,4,0.0755,0.302
7215,19,2,"DRYING CLEANING, COIN OPERATED",1,0.0952,0,0,0
8244,70,5,EDUCATIONAL SERVICES & SCHOOLS,1,0.0667,5,0.0667,0.3335
5511,4,7,"AUTOMOBILE DEALERS, NEW RETAIL",1,0.6364,0,0,0
5013,16,18,"AUTOMOBILE PARTS, WHOLESALE",1,0.5294,2,0.0606,0.1212
5198,4,2,"PAINT/WALL PAPER, WHOLESALE",1,0.3333,0,0,0
1795,2,1,WRECKING BUILDINGS,1,0.3333,0,0,0
5085,7,3,"INDUSTRIAL SUPPLIES,WHOLESALE",1,0.3,1,0.125,0.125
5031,7,3,"BUILDING MATERIALS, WHOLESALE",1,0.3,0,0,0
5231,13,5,"GLASS/PAINT/WALL PAPER, RETAIL",1,0.2778,0,0,0
3499,8,3,"METAL PRODUCTS, MANUFACTURING",1,0.2727,0,0,0
2621,3,1,PAPER MILLS & ALLIED PRODUCTS,1,0.25,1,0.25,0.25
5531,33,10,AUTO/HOME SUPPLY STORE-RETAIL,1,0.2326,2,0.0465,0.093
2851,4,1,PAINT MANUFACTURER,1,0.2,1,0.2,0.2
5093,13,3,RECYCLING-METAL(WASTE & SCRAP),1,0.1875,1,0.0625,0.0625
5074,13,2,"PLUMB/HEAT SUPPLIES, WHOLSALE",1,0.1333,0,0,0
5461,20,3,"BAKERY STORES, W/R SALES ONLY",1,0.1304,3,0.1304,0.3912
8051,7,1,NURSING HOME,1,0.125,2,0.25,0.5
7512,23,3,"AUTOMOBILE, RENTAL/LEASING",1,0.1154,2,0.0769,0.1538
5521,55,7,"AUTOMOBILE DEALERS,USED RETAIL",1,0.1129,2,0.0323,0.0646
5411,242,72,"GROCERS, RETAIL",1,0.2293,18,0.0584,1.0512
7694,1,1,ARMATURE REWINDING SHOPS,0,0.5,0,0,0
5146,1,1,"FISH/SEAFOOD, WHOLESALE",0,0.5,0,0,0
5963,1,1,CANVASSERS,0,0.5,0,0,0
8699,0,2,"MEMBERSHIP ORGANIZATIONS,MISC",0,1,0,0,0
7997,0,2,ATHLETIC CLUB (ADMISSION FEE),0,1,1,0.5,0.5
3899,0,1,PHOTO/CLOCK/MED EQUIP MFG,0,1,0,0,0
4111,0,1,BUS & MOTOR COACH COMPANY,0,1,0,0,0
7832,6,3,MOTION PIC THEATRE(NOT DRV-IN),0,0.3333,1,0.1111,0.1111
2834,4,2,"MEDICINE, MANUFACTURING",0,0.3333,0,0,0
5113,4,2,"BAGS, BAGGING & TIES, DEALERS",0,0.3333,0,0,0
3442,2,1,SCREEN/DOOR/WINDOW MGG,0,0.3333,1,0.3333,0.3333
7622,2,1,TELEVISION REPAIR,0,0.3333,1,0.3333,0.3333
3714,2,1,MOTOR VEH. PARTS & ACCESSORIES,0,0.3333,0,0,0
7213,2,1,LINEN SERVICES,0,0.3333,0,0,0
5311,8,3,DEPARTMENT STORES,0,0.2727,5,0.4545,2.2725
7261,11,4,FUNERAL ESTABLISHMENTS,0,0.2667,0,0,0
5084,9,3,INDUSTRIAL MACHINE/EQUIPMENT,0,0.25,0,0,0
